product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
37cc742be07708b53a98702e77a21a02,eletrodomesticos,57.0,163.0,1.0,400.0,27.0,13.0,17.0
1eba879220bd0981a0e2fbab499ed4e1,moveis_escritorio,57.0,476.0,1.0,8950.0,52.0,51.0,17.0
1e5428c428e0f783acd6e3d94ba4ee2a,pcs,55.0,1067.0,1.0,12000.0,27.0,50.0,53.0
6ddc95e87149457c4c5177b0a474a9ba,moveis_decoracao,47.0,1405.0,3.0,150.0,35.0,2.0,25.0
c33d78b97260227119fb2b71be168fca,cama_mesa_banho,39.0,170.0,1.0,650.0,27.0,10.0,22.0
6f0169f259bb0ff432bfff7d829b9946,casa_construcao,58.0,918.0,6.0,1050.0,16.0,20.0,16.0
b6f3b8136ba8302906df7e11ff908751,pet_shop,36.0,617.0,1.0,1350.0,23.0,7.0,30.0
ac5bae85a895724330c4acddd581b02b,telefonia,50.0,1254.0,2.0,500.0,16.0,15.0,11.0
e0bbe6292471ff5ab3752414baf78111,relogios_presentes,43.0,572.0,2.0,500.0,16.0,11.0,11.0
dd768d259ee6054e0dadd66c8e2be0b6,cama_mesa_banho,52.0,700.0,2.0,350.0,16.0,10.0,16.0
db7e6804f1a8206a7e51c9a741a09d9e,brinquedos,51.0,410.0,2.0,300.0,24.0,11.0,24.0
4473f3e5c65952b074ef987fa5c24662,telefonia,59.0,776.0,6.0,350.0,17.0,4.0,12.0
4c6018f41a6c2e5543cc034e94f5ce5b,ferramentas_jardim,44.0,2395.0,1.0,16500.0,40.0,25.0,26.0
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45.0,1003.0,2.0,400.0,18.0,11.0,11.0
7aeb83cae61b0e94e6426cba2598ad9e,utilidades_domesticas,55.0,471.0,2.0,1270.0,17.0,14.0,17.0
0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52.0,424.0,1.0,175.0,22.0,11.0,15.0
d394d30215872be4cda2c67c1ce5b981,esporte_lazer,37.0,621.0,5.0,250.0,20.0,20.0,20.0
0a17941f41b99d2f070fab54b458a4a4,malas_acessorios,28.0,453.0,1.0,300.0,16.0,23.0,19.0
e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,53.0,579.0,1.0,675.0,22.0,24.0,21.0
a1bf559ac1eab015ba992bd76d9d76c7,informatica_acessorios,32.0,1074.0,2.0,200.0,39.0,2.0,30.0
23ab7bb9eac81e85ec43ed71064cf7ce,cama_mesa_banho,55.0,613.0,1.0,550.0,16.0,10.0,16.0
78119fbfa709d07b86f5ccf15043c6d6,cool_stuff,43.0,447.0,2.0,586.0,18.0,11.0,13.0
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39.0,772.0,1.0,150.0,16.0,16.0,11.0
f16ced867a24a244afefb5b867f337df,fashion_bolsas_e_acessorios,38.0,487.0,2.0,13600.0,26.0,60.0,40.0
b0cd550945da1de6eb9cb69595d540df,esporte_lazer,55.0,1392.0,1.0,900.0,16.0,16.0,16.0
3c2f792f1041177a81913a977431a99e,eletronicos,40.0,549.0,1.0,200.0,20.0,20.0,20.0
fa9cf28beaafe4f4bec59550f6c76481,moveis_decoracao,47.0,470.0,3.0,400.0,35.0,6.0,15.0
ad19bca6e0f1919433d7e21d534ddb50,livros_interesse_geral,42.0,1109.0,1.0,900.0,18.0,25.0,16.0
a453b4ccccf554efba31d5ada5a59a60,telefonia,60.0,818.0,6.0,300.0,17.0,4.0,12.0
5563f6b699b362e1bd6a2e1e650f52bd,livros_tecnicos,60.0,1265.0,1.0,2050.0,29.0,5.0,21.0
7e437c1d65a7baab7e7ca6c9f4e98b84,beleza_saude,57.0,1571.0,1.0,2150.0,28.0,32.0,11.0
