geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1041,-23.5443921648681,-46.63949930627844,sao paulo,SP
1013,-23.546923208436723,-46.6342636964915,sao paulo,SP
1043,-23.546656718016017,-46.64078762115524,são paulo,SP
1050,-23.549773516504185,-46.64559900666509,sao paulo,SP
1007,-23.550392524842728,-46.63730164071784,sao paulo,SP
1033,-23.54032130474925,-46.636394815973325,sao paulo,SP
1026,-23.539494799586286,-46.63284391414975,são paulo,SP
1031,-23.536864121011018,-46.63349313820771,sao paulo,SP
1008,-23.54425493154535,-46.634639135589296,sao paulo,SP
1015,-23.544826346129778,-46.63086956396899,sao paulo,SP
1021,-23.54516769470249,-46.63224867958328,sao paulo,SP
1153,-23.52811869885744,-46.65645154579032,são paulo,SP
1129,-23.5259237463212,-46.642131776011375,sao paulo,SP
1230,-23.532734734664448,-46.654324449073776,sao paulo,SP
1221,-23.54601532944774,-46.64900196003804,sao paulo,SP
1203,-23.537119379681474,-46.64438743865777,sao paulo,SP
1214,-23.53569581346678,-46.64141313885349,sao paulo,SP
1231,-23.5367081559813,-46.6596418411045,sao paulo,SP
1258,-23.54499310130417,-46.685597180824026,sao paulo,SP
1222,-23.547159576461446,-46.64989460560333,são paulo,SP
1228,-23.54839279655493,-46.659018341392965,sao paulo,SP
1224,-23.541718547319537,-46.64883066180968,sao paulo,SP
1218,-23.531544680824037,-46.65066866833055,são paulo,SP
1201,-23.53435725950717,-46.64935629739165,sao paulo,SP
1259,-23.54335652677597,-46.683946373016354,sao paulo,SP
1212,-23.537511255832708,-46.63705730743676,são paulo,SP
1233,-23.540299470713855,-46.66278360519932,sao paulo,SP
1206,-23.535535799324883,-46.64305202830518,sao paulo,SP
1254,-23.54196785483874,-46.68191419135562,são paulo,SP
1225,-23.54064714772717,-46.648251782670506,sao paulo,SP
1252,-23.54173205190716,-46.67710841548848,sao paulo,SP
1333,-23.56356993894623,-46.65184216708981,sao paulo,SP
1314,-23.550271219805023,-46.641530430203645,sao paulo,SP
1331,-23.562327520947598,-46.6503277425703,sao paulo,SP
1307,-23.549360699694148,-46.65412441687346,sao paulo,SP
1306,-23.55433380183505,-46.64967363918865,sao paulo,SP
1319,-23.55156260866176,-46.64021297307979,são paulo,SP
1313,-23.556513287803007,-46.65025319729151,sao paulo,SP
1327,-23.56521929669917,-46.6451517253736,sao paulo,SP
1315,-23.552592988343235,-46.64068338732753,sao paulo,SP
1325,-23.56040415015292,-46.64409070038665,sao paulo,SP
1329,-23.563145744936214,-46.64661879892085,sao paulo,SP
1311,-23.560566359426364,-46.65761042867444,sao paulo,SP
1403,-23.57034735804139,-46.65315099653755,são paulo,SP
1409,-23.5613664276935,-46.657593869005645,sao paulo,SP
1452,-23.56883153079836,-46.69199439364803,sao paulo,SP
1415,-23.551840037191976,-46.65455309547579,sao paulo,SP
1445,-23.568346382739897,-46.68910543089613,sao paulo,SP
1424,-23.56816235942637,-46.66117892867444,sao paulo,SP
1422,-23.55978441771017,-46.6660792610364,sao paulo,SP
1420,-23.56851813765943,-46.65191532569683,sao paulo,SP
1451,-23.583489065785624,-46.68508055092622,sao paulo,SP
1454,-23.582148872612336,-46.68638063183105,sao paulo,SP
1405,-23.566964123780973,-46.65698270719597,sao paulo,SP
1404,-23.56994326977895,-46.657093704685806,sao paulo,SP
1448,-23.57741669608748,-46.67817482139765,sao paulo,SP
1511,-23.555682314184303,-46.63309991286275,sao paulo,SP
1539,-23.573782561198005,-46.62058066708981,sao paulo,SP
1506,-23.56180273327946,-46.63479182904371,são paulo,SP
1541,-23.568722298084143,-46.61880092397124,sao paulo,SP
1545,-23.581373061053768,-46.6178758329102,sao paulo,SP
1522,-23.55916467499565,-46.61546691825843,sao paulo,SP
1508,-23.56014607245072,-46.633346125858445,sao paulo,SP
1551,-23.576649380518187,-46.61216232569684,sao paulo,SP
1527,-23.563144561198005,-46.62658014155458,sao paulo,SP
1524,-23.5670455434244,-46.61611199999999,sao paulo,SP
1512,-23.553644898695826,-46.63261889578163,sao paulo,SP
2035,-23.500395,-46.62233251442673,são paulo,SP
2034,-23.50412273877685,-46.6246075311652,sao paulo,SP
2066,-23.508759080212357,-46.602973042876144,sao paulo,SP
2030,-23.504769581649203,-46.62470303231384,sao paulo,SP
2060,-23.51886128198398,-46.60382280391252,sao paulo,SP
2016,-23.50097763469062,-46.62712333406575,sao paulo,SP
2041,-23.49010232139766,-46.61972998972821,sao paulo,SP
2033,-23.50215379349651,-46.61688101249347,sao paulo,SP
2013,-23.5030857485429,-46.63382294171621,sao paulo,SP
2047,-23.51836389286744,-46.61420872522939,sao paulo,SP
2036,-23.50210750375091,-46.62196127699232,sao paulo,SP
2028,-23.50751845268047,-46.6174707485429,sao paulo,SP
2134,-23.499318080212344,-46.578124372468125,sao paulo,SP
2131,-23.50281070858096,-46.581761933117846,sao paulo,SP
2124,-23.50636475575626,-46.58066375575627,sao paulo,SP
2135,-23.498807971146547,-46.573631134485446,sao paulo,SP
